"artifact_id","glass_type","decoration","color_raw","color_hotdeck","color_mode","color_source","weathered"
"01","高钾","C","蓝绿","蓝绿","蓝绿","实测",0
"02","铅钡","A","浅蓝","浅蓝","浅蓝","实测",1
"03","高钾","A","蓝绿","蓝绿","蓝绿","实测",0
"04","高钾","A","蓝绿","蓝绿","蓝绿","实测",0
"05","高钾","A","蓝绿","蓝绿","蓝绿","实测",0
"06","高钾","A","蓝绿","蓝绿","蓝绿","实测",0
"07","高钾","B","蓝绿","蓝绿","蓝绿","实测",1
"08","铅钡","C","紫","紫","紫","实测",1
"09","高钾","B","蓝绿","蓝绿","蓝绿","实测",1
"10","高钾","B","蓝绿","蓝绿","蓝绿","实测",1
"11","铅钡","C","浅蓝","浅蓝","浅蓝","实测",1
"12","高钾","B","蓝绿","蓝绿","蓝绿","实测",1
"13","高钾","C","浅蓝","浅蓝","浅蓝","实测",0
"14","高钾","C","深绿","深绿","深绿","实测",0
"15","高钾","C","浅蓝","浅蓝","浅蓝","实测",0
"16","高钾","C","浅蓝","浅蓝","浅蓝","实测",0
"17","高钾","C","浅蓝","浅蓝","浅蓝","实测",0
"18","高钾","A","深蓝","深蓝","深蓝","实测",0
"19","铅钡","A",NA,"黑","浅蓝","热卡填补",1
"20","铅钡","A","浅蓝","浅蓝","浅蓝","实测",0
"21","高钾","A","蓝绿","蓝绿","蓝绿","实测",0
"22","高钾","B","蓝绿","蓝绿","蓝绿","实测",1
"23","铅钡","A","蓝绿","蓝绿","蓝绿","实测",1
"24","铅钡","C","紫","紫","紫","实测",0
"25","铅钡","C","浅蓝","浅蓝","浅蓝","实测",1
"26","铅钡","C","紫","紫","紫","实测",1
"27","高钾","B","蓝绿","蓝绿","蓝绿","实测",1
"28","铅钡","A","浅蓝","浅蓝","浅蓝","实测",1
"29","铅钡","A","浅蓝","浅蓝","浅蓝","实测",1
"30","铅钡","A","深蓝","深蓝","深蓝","实测",0
"31","铅钡","C","紫","紫","紫","实测",0
"32","铅钡","C","浅绿","浅绿","浅绿","实测",0
"33","铅钡","C","深绿","深绿","深绿","实测",0
"34","铅钡","C","深绿","深绿","深绿","实测",1
"35","铅钡","C","浅绿","浅绿","浅绿","实测",0
"36","铅钡","C","深绿","深绿","深绿","实测",1
"37","铅钡","C","深绿","深绿","深绿","实测",0
"38","铅钡","C","深绿","深绿","深绿","实测",1
"39","铅钡","C","深绿","深绿","深绿","实测",1
"40","铅钡","C",NA,"浅蓝","浅蓝","热卡填补",1
"41","铅钡","C","浅绿","浅绿","浅绿","实测",1
"42","铅钡","A","浅蓝","浅蓝","浅蓝","实测",1
"43","铅钡","C","浅蓝","浅蓝","浅蓝","实测",1
"44","铅钡","A","浅蓝","浅蓝","浅蓝","实测",1
"45","铅钡","A","浅蓝","浅蓝","浅蓝","实测",0
"46","铅钡","A","浅蓝","浅蓝","浅蓝","实测",0
"47","铅钡","A","浅蓝","浅蓝","浅蓝","实测",0
"48","铅钡","A",NA,"浅蓝","浅蓝","热卡填补",1
"49","铅钡","A","黑","黑","黑","实测",1
"50","铅钡","A","黑","黑","黑","实测",1
"51","铅钡","C","浅蓝","浅蓝","浅蓝","实测",1
"52","铅钡","C","浅蓝","浅蓝","浅蓝","实测",1
"53","铅钡","A","浅蓝","浅蓝","浅蓝","实测",1
"54","铅钡","C","浅蓝","浅蓝","浅蓝","实测",1
"55","铅钡","C","绿","绿","绿","实测",0
"56","铅钡","C","蓝绿","蓝绿","蓝绿","实测",1
"57","铅钡","C","蓝绿","蓝绿","蓝绿","实测",1
"58","铅钡","C",NA,"浅蓝","浅蓝","热卡填补",1
