"glass_type","metric","rhat","ess_ar1"
"高钾","log_posterior",1.26181700516691,240.661870445354
"高钾","phi",4.89569528428536,175.554630772717
"高钾","mu0_c1",3.05019362023657,434.638571869187
"高钾","mu0_c3",1.2082356058995,308.0014856769
"高钾","mu0_c9",3.54164354841203,130.26012657695
"高钾","mu1_c1",3.13274787101548,288.447040982501
"高钾","mu1_c3",3.35430518709234,107.170535221024
"高钾","mu1_c9",1.44099026792014,61.0315369024461
"铅钡","log_posterior",1.58390568836874,371.779985371447
"铅钡","phi",1.77930034961458,269.78449418734
"铅钡","mu0_c1",2.42146707337378,635.105084929416
"铅钡","mu0_c3",2.4574363961334,185.94939665028
"铅钡","mu0_c9",1.88109573449054,507.249336695978
"铅钡","mu1_c1",1.02031067861183,629.66802931169
"铅钡","mu1_c3",1.91236542343788,193.34878966563
"铅钡","mu1_c9",1.42209756784101,535.462451556521
