"sample_name","artifact_id","glass_type","point_weather_level","point_tag","component_1","component_2","component_3","component_4","component_5","component_6","component_7","component_8","component_9","component_10","component_11","component_12","component_13","component_14"
"01","01","高钾",0,"未风化",70.9565310931257,0.02,10.2243725028173,6.46827169347403,0.890410818563672,4.02220059420141,1.78082163712734,3.96079295154185,0.02,0.02,1.19744903186149,0.02,0.02,0.399149677287163
"02","02","铅钡",1,"一般风化",36.2908959855841,0.02,1.05031534688157,2.34070277305036,1.18035438982881,5.73172089298228,1.86055861447592,0.260078085894484,47.4442446691361,0.02,3.57107217939734,0.190057062769046,0.02,0.02
"03部位1","03","高钾",0,"未风化",86.92813,0.02,5.182734,2.007186,0.02,4.054316,0.02,0.778908,0.24965,0.02,0.659076,0.02,0.02,0.02
"03部位2","03","高钾",0,"未风化",62.3715351941748,0.02,12.5026072006472,5.93292677993528,1.12189927184466,5.55896035598706,2.18315533980582,5.14456512944984,1.42511529126214,2.89065938511327,0.707504045307443,0.101072006472492,0.02,0.02
"04","04","高钾",0,"未风化",68.513554028732,0.02,10.0565584009994,7.40462211118051,1.62236102435978,6.69743910056215,2.1423485321674,2.26714553404122,0.02,0.02,0.82158026233604,0.02,0.02,0.374391005621487
"05","05","高钾",0,"未风化",63.7558139052948,0.02,11.3368977308051,7.60969847684178,1.83253963319863,7.76499844575692,2.71257279038442,3.38553932235002,0.02,0.02,0.973213138534867,0.0621199875660553,0.02,0.486606569267433
"06部位1","06","高钾",0,"未风化",68.3338859684594,0.02,7.4445046502224,0.02,2.00001617468662,11.2627173473514,2.41416093813182,2.53537403962798,0.202021835826931,1.39395066720582,4.22225636878285,0.111112009704812,0.02,0.02
"06部位2","06","高钾",0,"未风化",60.4756313233509,0.02,7.76547146904087,5.47020841764468,1.74925333872926,10.1618474301902,6.10721974908944,2.20426143261837,0.353895184135977,0.980795224605423,4.55008093889114,0.121335491703764,0.02,0.02
"07","07","高钾",1,"一般风化",92.76007221665,0.02,0.02,1.07150250752257,0.02,1.98278034102307,0.170238716148445,3.24454964894684,0.02,0.02,0.610856569709127,0.02,0.02,0.02
"08","08","铅钡",1,"一般风化",20.156141053897,0.02,0.02,1.48118613504308,0.02,1.34107393307954,0.02,10.4183430174314,28.7029853736726,31.2550290522941,3.59287717892206,0.370296533760769,0.02,2.58206772189942
"08严重风化点","08","铅钡",2,"严重风化",4.68789698697068,0.02,0.02,3.24390268729642,0.02,1.12875610749186,0.02,3.19305781758958,32.9983204397394,31.1373982084691,7.68774429967427,0.538955618892508,0.02,15.2839678338762
"09","09","高钾",1,"一般风化",95.1057151448331,0.02,0.590532224115466,0.620559286358625,0.02,1.32119073869901,0.320288663927032,1.55139821589656,0.02,0.02,0.350315726170191,0.02,0.02,0.02
"10","10","高钾",1,"一般风化",96.7990862639014,0.02,0.920276525398257,0.210063119927863,0.02,0.8102434625789,0.260078148482116,0.840252479711452,0.02,0.02,0.02,0.02,0.02,0.02
"11","11","铅钡",1,"一般风化",35.185164063319,0.02,0.219972743474159,3.67668728378237,0.743717370793584,2.81774609497851,0.02,5.16412202536954,26.5957521752804,15.3038180102736,9.82544920851242,0.387571024216375,0.02,0.02
"12","12","高钾",1,"一般风化",94.5646218740584,0.02,1.01294164909109,0.722097017173847,0.02,1.46425228482475,0.290844631917244,1.65480566435673,0.02,0.02,0.150436878577885,0.02,0.02,0.02
"13","13","高钾",0,"未风化",60.0562339514979,2.91070715304667,12.7521540656205,8.85424903199511,0.02,6.26921540656205,2.93106174852252,4.81386183003872,0.02,0.02,1.29251681271653,0.02,0.02,0.02
"14","14","高钾",0,"未风化",63.0505292929293,3.4114101010101,12.3941171717172,8.30648080808081,0.666133333333333,9.31577373737374,0.504646464646465,0.474367676767677,1.63505454545455,0.02,0.161486868686869,0.02,0.02,0.02
"16","16","高钾",0,"未风化",66.1801199065136,2.13222233512854,14.7427944314602,8.39689462453003,0.527978863936592,6.27482572909257,0.426444467025709,1.08641804694645,0.111687836601971,0.02,0.02,0.0406137587643532,0.02,0.02
"18","18","高钾",0,"未风化",81.5925511568123,0.02,9.67281439588689,0.02,1.57106221079692,3.13185604113111,0.02,0.02,0.02,0.02,1.39649974293059,0.0718786632390745,2.42333778920308,0.02
"19","19","铅钡",1,"一般风化",29.9881409477521,0.02,0.02,2.96441474281085,0.596929931146213,3.61193195625759,1.34562170919401,3.55122721749696,43.3229485621709,5.41283920615634,8.93371405427298,0.192231672742001,0.02,0.02
"20","20","铅钡",0,"未风化",42.2069539644837,0.02,0.802112883158014,0.02,0.02,6.15706368057912,1.70590204727972,5.40014025562719,10.5065490329148,26.6052935188327,6.49598461712476,0.02,0.02,0.02
"21","21","高钾",0,"未风化",77.7540803897686,0.02,0.02,4.77597442143727,1.23708891595615,6.27670523751523,2.40319732034105,3.32594397076736,1.01400730816078,1.99759439707674,1.11540803897686,0.02,0.02,0.02
"22","22","高钾",1,"一般风化",92.23918,0.02,0.739112,1.658008,0.639232,3.4958,0.34958,0.54934,0.02,0.02,0.209748,0.02,0.02,0.02
"23未风化点","23","铅钡",0,"未风化",55.6851917098446,8.19904663212435,0.02,0.517616580310881,0.735015544041451,1.4700310880829,0.02,3.09534715025907,17.5782590673575,12.2778652849741,0.02,0.341626943005181,0.02,0.02
"24","24","铅钡",0,"未风化",32.2630177993527,0.02,0.02,0.474753236245955,0.02,1.60608009708738,0.02,8.54555825242718,29.4347006472492,26.4952710355987,0.141415857605178,0.919203074433657,0.02,0.02
"25未风化点","25","铅钡",0,"未风化",52.1012899237585,2.37806717494333,0.02,0.648563774984546,0.02,1.95598598804863,1.59567277972388,1.15300226663919,32.839975273027,6.8459509581702,0.195598598804863,0.205893261899856,0.02,0.02
"26","26","铅钡",1,"一般风化",19.8058605489882,0.02,0.02,1.44115407733921,0.02,0.700561009817672,0.02,10.5784712482468,29.5536665998798,32.2758465237427,3.13250851532759,0.450360649168503,0.02,1.96157082748948
"26严重风化点","26","铅钡",2,"严重风化",3.72111722895185,0.02,0.40012013214536,3.01090399439383,0.02,1.18035438982881,0.02,3.60108118930824,29.9289858844729,35.4606467113825,6.04181399539493,0.620186204825308,0.02,15.9547902692962
"27","27","高钾",1,"一般风化",93.7052848901933,0.02,0.02,0.94998886752353,0.545738285598624,2.53667240157879,0.202125290962453,1.55636474041089,0.02,0.02,0.363825523732416,0.02,0.02,0.02
"28未风化点","28","铅钡",0,"未风化",68.9560928158881,0.02,0.263345830377951,1.35724389502483,1.01286857837674,4.76048231837066,0.415276117134461,0.334246630864323,17.3605674333772,4.09198905664201,1.0533833215118,0.121544229405208,0.232959773026649,0.02
"29未风化点","29","铅钡",0,"未风化",63.3507008410092,0.920736884261113,0.300240288346015,2.98238686423708,1.49119343211854,14.3514857829395,0.810648778534241,0.740592711253504,12.3198598317982,2.03162595114137,0.410328394072887,0.250200240288346,0.02,0.02
"30部位1","30","铅钡",0,"未风化",35.0306564573762,0.02,1.43835834609495,4.58030423685554,0.999710056151097,4.43748851454824,2.16263808065339,0.02,40.0088044920878,10.4969555895865,0.02,0.357039305768249,0.408044920877999,0.02
"30部位2","30","铅钡",0,"未风化",37.3864802431611,0.02,0.02,4.29240932117528,0.516303951367781,3.90771225937183,2.77386828774063,0.02,38.2064924012158,10.4779331306991,1.42742857142857,0.485933130699088,0.445438703140831,0.02
"31","31","铅钡",0,"未风化",66.9077232551052,0.02,0.02,1.62422025805141,0.903472518541095,3.15707812658742,4.65948186528497,0.446660570964137,16.8005282942192,3.47177080158488,1.64452301127705,0.304541298384639,0.02,0.02
"32","32","铅钡",0,"未风化",70.5861443340766,0.02,0.212639367524833,0.465781471721062,0.02,2.38966146361241,1.01256841678492,0.111382525846341,20.00835191567,4.9413338739104,0.172136630853436,0.02,0.02,0.02
"33","33","铅钡",0,"未风化",75.4646758703482,0.02,0.149909963985594,0.639615846338535,0.999399759903962,2.34858943577431,0.02,0.469717887154862,16.150300120048,3.54786914765906,0.129921968787515,0.02,0.02,0.02
"34","34","铅钡",1,"一般风化",36.6605578342904,0.02,0.256152584085316,0.799196062346186,0.02,1.65986874487285,0.481566858080394,1.54716160787531,47.6956111566858,10.2461033634126,0.34836751435603,0.225414273995078,0.02,0.02
"35","35","铅钡",0,"未风化",68.4241845961958,0.02,0.02,0.394495374701175,0.02,1.49492984097287,0.176484772892631,0.166103315663652,22.8911131898971,5.89666770605966,0.436021203617088,0.02,0.02,0.02
"36","36","铅钡",1,"一般风化",40.5062562736864,2.27252688722729,0.143312506401721,0.378754481204548,0.02,1.63785721601967,0.327571443203933,0.696089316808358,42.5945242241114,11.0862460309331,0.0716562532008604,0.225205367202704,0.02,0.02
"37","37","铅钡",0,"未风化",60.0839207841568,0.02,0.229861972394479,0.889465893178636,0.02,2.71836767353471,0.02,3.00819363872775,17.2296539307862,10.3337947589518,1.45912382476495,0.309813962792559,0.02,3.65780356071214
"38","38","铅钡",1,"一般风化",33.3810043623821,1.39890027391701,0.02,0.689313178451862,0.02,2.60519833620777,0.293971796692706,0.739997970985087,49.9853423962666,9.92408237800548,0.486574008318961,0.415615298772446,0.02,0.02
"39","39","铅钡",1,"一般风化",26.5476913730255,0.02,0.02,1.12258809234508,0.02,0.505670311867153,0.02,0.889979748886189,61.7221182665047,7.30187930336168,1.17315512353179,0.616917780477926,0.02,0.02
"40","40","铅钡",1,"一般风化",16.9320766967637,0.02,0.02,1.89485238916506,0.02,0.455980521456833,0.192525109059552,0.02,71.1430942477427,6.77891041899158,1.79352338439688,0.689037232423658,0.02,0.02
"41","41","铅钡",1,"一般风化",19.687252160922,0.02,0.469251947497599,5.28974922633657,2.91149503788283,3.55138405719774,1.90900224095614,0.202631522783054,47.0531725536229,10.4088613808558,7.95595347348202,0.501246398463344,0.02,0.02
"42未风化点1","42","铅钡",0,"未风化",52.2694051627385,5.85303132333435,0.152953780226507,0.805556575859606,1.11146413631262,3.59951229466381,0.02,2.72257728803183,22.3108580757066,10.6761738598102,0.0815753494541373,0.356892153861851,0.02,0.02
"42未风化点2","42","铅钡",0,"未风化",52.3681348314607,5.79487640449438,0.357078651685393,0.02,1.1834606741573,5.77447191011236,0.02,2.77501123595506,20.5269213483146,11.1000449438202,0.02,0.02,0.02,0.02
"43部位1","43","铅钡",1,"一般风化",13.0942015209125,0.02,0.02,5.52889733840304,0.939068441064639,2.37404942965779,0.801901140684411,5.64496197718631,63.1497148288973,7.69192015209126,0.02,0.675285171102662,0.02,0.02
"43部位2","43","铅钡",1,"一般风化",22.4295438088342,0.02,0.02,6.61516499431054,0.981938553842971,3.52464259853109,1.43673114720182,1.56076549084514,46.2544739836557,3.36959966897693,13.2613385745319,0.48580117926968,0.02,0.02
"44未风化点","44","铅钡",0,"未风化",61.2302340597256,3.08469733656174,0.201614205004036,2.15727199354318,0.02,12.7924213075061,0.776214689265537,0.433470540758676,13.7198466505246,5.26213075060533,0.02,0.262098466505246,0.02,0.02
"45","45","铅钡",0,"未风化",62.2645678259101,2.70273744152939,0.111767337807606,0.853496034167175,0.751889363432988,5.08033353670938,0.02,0.538515354891194,16.2469066503966,11.136091112467,0.02,0.233695342688631,0.02,0.02
"46","46","铅钡",0,"未风化",55.9209064179256,0.02,0.253219101693197,0.02,1.69150359931055,4.85167798844165,0.02,0.779914833215046,25.5751292710129,10.1895366521342,0.202575281354557,0.435536854912298,0.02,0.02
"47","47","铅钡",0,"未风化",52.9601850709439,4.78840633353897,0.297990952087189,0.893972856261567,0.626808554390294,3.14431832202344,0.02,0.667910754678182,26.099897182809,9.48433271643019,0.10275550071972,0.873421756117623,0.02,0.02
"48","48","铅钡",1,"一般风化",53.7548331148533,0.806372895028739,0.322549158011495,2.8424644549763,1.55226782293032,13.7587375214279,1.0382051023495,0.02,15.8351477261269,7.3682323283251,1.10876273066452,0.251991529696481,1.32043561560956,0.02
"49","49","铅钡",1,"一般风化",30.1224795811518,0.02,0.02,4.79197486910995,1.53803560209424,5.62900104712042,2.86681465968586,0.732397905759162,35.7619434554974,6.38232460732984,11.6137382198953,0.481290052356021,0.02,0.02
"49未风化点","49","铅钡",0,"未风化",55.5550020358306,0.02,0.305191368078176,2.11599348534202,1.2207654723127,6.61247964169381,1.29197679153094,0.457787052117264,23.4183509771987,4.26250610749186,4.39475570032573,0.305191368078176,0.02,0.02
"50","50","铅钡",1,"一般风化",19.9241610291671,0.02,0.02,3.53493179549739,0.520820672063879,2.07220139736054,0.365682599534213,1.25218587113231,48.7576799378951,15.7354330708661,7.02553842741488,0.731365199068426,0.02,0.02
"50未风化点","50","铅钡",0,"未风化",46.3946564885496,0.02,0.02,3.21526717557252,0.556488549618321,4.28702290076336,0.02,0.721374045801527,31.5446564885496,6.40992366412214,6.53358778625954,0.237022900763359,0.02,0.02
"51部位1","51","铅钡",1,"一般风化",25.8000986048463,0.02,0.02,3.75312283646281,1.24754641770691,5.50388125458932,1.24754641770691,1.43625091786426,42.1859393685094,9.37232350781496,8.49170250708067,0.408859750340921,0.49272841707752,0.02
"51部位2","51","铅钡",1,"一般风化",23.2545038167939,0.02,0.02,5.5876161395856,1.57934569247546,2.73390185387132,0.457465648854962,0.81690294438386,55.9197295528898,0.02,9.53053435114504,0.02,0.02,0.02
"52","52","铅钡",1,"一般风化",27.3432780612245,1.2959906462585,0.02,2.41139243197279,0.584258078231293,1.23225340136054,0.244326105442177,0.743601190476191,50.3736692176871,9.17816326530612,6.06566113945578,0.467406462585034,0.02,0.02
"53未风化点","53","铅钡",0,"未风化",64.7420580152672,3.09167226463104,0.111869720101781,0.793258015267176,1.15937709923664,6.16300458015267,0.02,0.549178625954199,13.8921852417303,9.14280712468193,0.02,0.274589312977099,0.02,0.02
"54","54","铅钡",1,"一般风化",22.3358844185813,0.02,0.320802648740845,3.1980014046353,1.28321059496338,4.16040935085783,0.02,0.832081870171566,55.5991090598977,7.05765827229859,4.25063509581619,0.882207284037323,0.02,0.02
"54严重风化点","54","铅钡",2,"严重风化",17.6290198101527,0.02,0.02,0.02,1.14367106892282,3.76072018159307,0.02,1.380647957078,60.2333429632687,0.02,14.5586236070986,1.15397441188609,0.02,0.02
"55","55","铅钡",0,"未风化",50.7897779622328,2.80841253372069,0.02,1.17103548454036,0.02,1.50265615272878,0.02,0.891230545756381,34.1154762398838,8.23870097530608,0.362710105831085,0.02,0.02,0.02
"56","56","铅钡",1,"一般风化",31.5580984388552,0.02,0.02,1.30995880312229,0.02,2.00282957502168,0.02,0.855262359063313,44.6576864700781,16.7263334778838,2.74983087597572,0.02,0.02,0.02
"57","57","铅钡",1,"一般风化",27.4460127608954,0.02,0.02,1.41440899751271,0.02,2.35374932410512,0.02,1.25245376878988,48.6945387693306,18.6788363793663,0.02,0.02,0.02,0.02
"58","58","铅钡",1,"一般风化",30.7531044957473,0.02,0.344062373430539,3.53169906844876,0.799439044147428,3.56205751316322,0.870275415147833,3.16739773187525,39.8201599837991,7.75152288375861,9.0974139327663,0.242867557715674,0.02,0.02
