"scenario","glass_type","component","median_log_change"
"CLR baseline; delta=0.01%","高钾","component_1",0.30778973926464
"CLR baseline; delta=0.01%","高钾","component_2",-0.0670453570835688
"CLR baseline; delta=0.01%","高钾","component_3",-2.95620113353075
"CLR baseline; delta=0.01%","高钾","component_4",-2.00642346211189
"CLR baseline; delta=0.01%","高钾","component_5",-4.25436263829408
"CLR baseline; delta=0.01%","高钾","component_6",-1.32999423166684
"CLR baseline; delta=0.01%","高钾","component_7",-2.00923637414878
"CLR baseline; delta=0.01%","高钾","component_8",-0.417389679420715
"CLR baseline; delta=0.01%","高钾","component_9",-2.72907291118562
"CLR baseline; delta=0.01%","高钾","component_10",-0.59414373290411
"CLR baseline; delta=0.01%","高钾","component_11",-1.68438139789699
"CLR baseline; delta=0.01%","高钾","component_12",-1.32004468172703
"CLR baseline; delta=0.01%","高钾","component_13",-0.0504728606006459
"CLR baseline; delta=0.01%","高钾","component_14",-0.151869541915453
"CLR baseline; delta=0.01%","铅钡","component_1",-0.81650119379436
"CLR baseline; delta=0.01%","铅钡","component_2",-0.540088538613754
"CLR baseline; delta=0.01%","铅钡","component_3",-1.94288350717621
"CLR baseline; delta=0.01%","铅钡","component_4",1.0375706835951
"CLR baseline; delta=0.01%","铅钡","component_5",-0.389369777185388
"CLR baseline; delta=0.01%","铅钡","component_6",-0.398750420763938
"CLR baseline; delta=0.01%","铅钡","component_7",3.04664861294072
"CLR baseline; delta=0.01%","铅钡","component_8",1.09627912251303
"CLR baseline; delta=0.01%","铅钡","component_9",0.737742993939586
"CLR baseline; delta=0.01%","铅钡","component_10",0.277994179056401
"CLR baseline; delta=0.01%","铅钡","component_11",2.97295994615266
"CLR baseline; delta=0.01%","铅钡","component_12",0.35466614428951
"CLR baseline; delta=0.01%","铅钡","component_13",-0.00400684069502283
"CLR baseline; delta=0.01%","铅钡","component_14",0.14703896460114
"CLR baseline; delta=0.02%","高钾","component_1",0.313848197368907
"CLR baseline; delta=0.02%","高钾","component_2",-0.0855811294388035
"CLR baseline; delta=0.02%","高钾","component_3",-2.9514370140587
"CLR baseline; delta=0.02%","高钾","component_4",-2.00035068287477
"CLR baseline; delta=0.02%","高钾","component_5",-3.67833617481079
"CLR baseline; delta=0.02%","高钾","component_6",-1.34874469211689
"CLR baseline; delta=0.02%","高钾","component_7",-2.02795818588049
"CLR baseline; delta=0.02%","高钾","component_8",-0.450997059920995
"CLR baseline; delta=0.02%","高钾","component_9",-2.10353599171913
"CLR baseline; delta=0.02%","高钾","component_10",-0.587920705841086
"CLR baseline; delta=0.02%","高钾","component_11",-1.68834619052482
"CLR baseline; delta=0.02%","高钾","component_12",-0.967047944309318
"CLR baseline; delta=0.02%","高钾","component_13",-0.0690086329558802
"CLR baseline; delta=0.02%","高钾","component_14",-0.170398170351972
"CLR baseline; delta=0.02%","铅钡","component_1",-0.827823995129655
"CLR baseline; delta=0.02%","铅钡","component_2",-0.512982229795356
"CLR baseline; delta=0.02%","铅钡","component_3",-1.46467406047614
"CLR baseline; delta=0.02%","铅钡","component_4",1.03807205581004
"CLR baseline; delta=0.02%","铅钡","component_5",-0.441708994033653
"CLR baseline; delta=0.02%","铅钡","component_6",-0.380114882306553
"CLR baseline; delta=0.02%","铅钡","component_7",2.41273357162339
"CLR baseline; delta=0.02%","铅钡","component_8",0.994161552897418
"CLR baseline; delta=0.02%","铅钡","component_9",0.736325042713463
"CLR baseline; delta=0.02%","铅钡","component_10",0.254552758281258
"CLR baseline; delta=0.02%","铅钡","component_11",2.97855856100333
"CLR baseline; delta=0.02%","铅钡","component_12",0.381815364948672
"CLR baseline; delta=0.02%","铅钡","component_13",0.0359217269115907
"CLR baseline; delta=0.02%","铅钡","component_14",0.134744230693945
"CLR baseline; delta=0.04%","高钾","component_1",0.314829355401573
"CLR baseline; delta=0.04%","高钾","component_2",-0.0779883465058643
"CLR baseline; delta=0.04%","高钾","component_3",-2.91939728873289
"CLR baseline; delta=0.04%","高钾","component_4",-2.00227690483132
"CLR baseline; delta=0.04%","高钾","component_5",-3.07574433995466
"CLR baseline; delta=0.04%","高钾","component_6",-1.38558718769431
"CLR baseline; delta=0.04%","高钾","component_7",-1.99768511263853
"CLR baseline; delta=0.04%","高钾","component_8",-0.468625394191664
"CLR baseline; delta=0.04%","高钾","component_9",-1.45143387213634
"CLR baseline; delta=0.04%","高钾","component_10",-0.555565637702941
"CLR baseline; delta=0.04%","高钾","component_11",-1.65630646519901
"CLR baseline; delta=0.04%","高钾","component_12",-0.326515000437662
"CLR baseline; delta=0.04%","高钾","component_13",-0.0448050989788898
