"factor","scenario","category","rho","p_value"
"玻璃类型","all58","高钾",-0.344423360096832,0.00810917329172184
"玻璃类型","all58","铅钡",0.344423360096832,0.00810917329172186
"纹饰","all58","A",-0.136831161964414,0.305732507308097
"纹饰","all58","B",0.285390896492696,0.0298903059319246
"纹饰","all58","C",-0.0410671150253818,0.759544777375442
"颜色","hotdeck58","黑",0.196220982050319,0.139880196462806
"颜色","hotdeck58","蓝绿",0.0165407923394712,0.901919371579904
"颜色","hotdeck58","绿",-0.157650883821153,0.23724331174685
"颜色","hotdeck58","浅蓝",0.10857745369766,0.417191560010998
"颜色","hotdeck58","浅绿",-0.119912822364084,0.36993771275717
"颜色","hotdeck58","深蓝",-0.224933852710609,0.0895862520063497
"颜色","hotdeck58","深绿",-0.0111166021473302,0.933993820400289
"颜色","hotdeck58","紫",-0.0476384958729191,0.722508751176313
