"sample_name","artifact_id","glass_type","class_code","tree_class_code","tree_prob_lead_barium","tree_prob_high_potassium","rank_lead_barium","rank_high_potassium","plsda_class_code","plsda_score_lead_barium","plsda_score_high_potassium"
"01",1,"高钾",2,2,0,1,50,1,2,-0.055962300456753,1.05596230045675
"02",2,"铅钡",1,1,1,0,1,19,1,0.565980438328278,0.434019561671722
"03部位1",3,"高钾",2,2,0,1,50,1,2,0.142739195228205,0.857260804771795
"03部位2",3,"高钾",2,2,0,1,50,1,2,0.438424859498808,0.561575140501192
"04",4,"高钾",2,2,0,1,50,1,2,-0.0921591294704965,1.0921591294705
"05",5,"高钾",2,2,0,1,50,1,2,-0.0367166058556596,1.03671660585566
"06部位1",6,"高钾",2,2,0,1,50,1,2,0.336470582296218,0.663529417703782
"06部位2",6,"高钾",2,2,0,1,50,1,2,0.318647543567856,0.681352456432144
"07",7,"高钾",2,2,0,1,50,1,2,0.154725623355672,0.845274376644328
"08",8,"铅钡",1,1,1,0,1,19,1,1.17729055720893,-0.177290557208931
"08严重风化点",8,"铅钡",1,1,1,0,1,19,1,1.3138490358256,-0.313849035825602
"09",9,"高钾",2,2,0,1,50,1,2,0.10015374584832,0.89984625415168
"10",10,"高钾",2,2,0,1,50,1,2,0.106901239885557,0.893098760114443
"11",11,"铅钡",1,1,1,0,1,19,1,1.004040826288,-0.00404082628800267
"12",12,"高钾",2,2,0,1,50,1,2,0.0708759371289995,0.929124062871
"13",13,"高钾",2,2,0,1,50,1,2,-0.0387224963924966,1.0387224963925
"14",14,"高钾",2,2,0,1,50,1,2,0.171337345988002,0.828662654011998
"16",16,"高钾",2,2,0,1,50,1,2,0.0678349276820146,0.932165072317985
"18",18,"高钾",2,2,0,1,50,1,2,0.140197677782411,0.859802322217589
"19",19,"铅钡",1,1,1,0,1,19,1,0.935227390326624,0.0647726096733759
"20",20,"铅钡",1,1,1,0,1,19,1,0.683673457617299,0.316326542382701
"21",21,"高钾",2,2,0,1,50,1,2,0.444075273292153,0.555924726707847
"22",22,"高钾",2,2,0,1,50,1,2,0.0224529306961418,0.977547069303858
"23未风化点",23,"铅钡",1,1,1,0,1,19,1,1.06381169430543,-0.0638116943054317
"24",24,"铅钡",1,1,1,0,1,19,1,1.14966599632657,-0.149665996326567
"25未风化点",25,"铅钡",1,1,1,0,1,19,1,0.9864961202291,0.0135038797709001
"26",26,"铅钡",1,1,1,0,1,19,1,1.23617191764839,-0.236171917648385
"26严重风化点",26,"铅钡",1,1,1,0,1,19,1,1.2598154943136,-0.259815494313604
"27",27,"高钾",2,2,0,1,50,1,2,0.134431471141776,0.865568528858224
"28未风化点",28,"铅钡",1,1,1,0,1,19,1,0.728602308095542,0.271397691904458
"29未风化点",29,"铅钡",1,1,1,0,1,19,1,0.67973783455894,0.32026216544106
"30部位1",30,"铅钡",1,1,1,0,1,19,1,0.828059280250056,0.171940719749944
"30部位2",30,"铅钡",1,1,1,0,1,19,1,0.993923699000689,0.00607630099931061
"31",31,"铅钡",1,1,1,0,1,19,1,0.85337664657701,0.14662335342299
"32",32,"铅钡",1,1,1,0,1,19,1,0.692203506521211,0.307796493478789
"33",33,"铅钡",1,1,1,0,1,19,1,0.700650314652188,0.299349685347812
"34",34,"铅钡",1,1,1,0,1,19,1,0.959571848555817,0.0404281514441826
"35",35,"铅钡",1,1,1,0,1,19,1,0.82584174242269,0.17415825757731
"36",36,"铅钡",1,1,1,0,1,19,1,1.02338579048718,-0.0233857904871771
"37",37,"铅钡",1,1,1,0,1,19,1,0.935622776119156,0.0643772238808441
"38",38,"铅钡",1,1,1,0,1,19,1,1.09931044616814,-0.0993104461681441
"39",39,"铅钡",1,1,1,0,1,19,1,1.23473193448873,-0.23473193448873
"40",40,"铅钡",1,1,1,0,1,19,1,1.28452156115437,-0.284521561154367
"41",41,"铅钡",1,1,1,0,1,19,1,0.994141370365149,0.00585862963485073
"42未风化点1",42,"铅钡",1,1,1,0,1,19,1,0.975461141264673,0.024538858735327
"42未风化点2",42,"铅钡",1,1,1,0,1,19,1,0.752968407294861,0.247031592705139
"43部位1",43,"铅钡",1,1,1,0,1,19,1,1.04754570062148,-0.0475457006214846
"43部位2",43,"铅钡",1,1,1,0,1,19,1,0.996348123680427,0.00365187631957281
"44未风化点",44,"铅钡",1,1,1,0,1,19,1,0.741251772002816,0.258748227997184
"45",45,"铅钡",1,1,1,0,1,19,1,0.900302498856275,0.0996975011437249
"46",46,"铅钡",1,1,1,0,1,19,1,0.935299188905721,0.0647008110942787
"47",47,"铅钡",1,1,1,0,1,19,1,1.03955036427799,-0.0395503642779861
"48",48,"铅钡",1,1,1,0,1,19,1,0.771677873202074,0.228322126797926
"49",49,"铅钡",1,1,1,0,1,19,1,0.962607595491315,0.0373924045086853
"49未风化点",49,"铅钡",1,1,1,0,1,19,1,0.79941995598005,0.20058004401995
"50",50,"铅钡",1,1,1,0,1,19,1,1.15361538633128,-0.153615386331284
"50未风化点",50,"铅钡",1,1,1,0,1,19,1,0.970652271697575,0.029347728302425
"51部位1",51,"铅钡",1,1,1,0,1,19,1,0.967007662579227,0.0329923374207726
"51部位2",51,"铅钡",1,1,1,0,1,19,1,0.614250203497122,0.385749796502878
"52",52,"铅钡",1,1,1,0,1,19,1,1.18476242906018,-0.184762429060177
"53未风化点",53,"铅钡",1,1,1,0,1,19,1,0.879626548605774,0.120373451394226
"54",54,"铅钡",1,1,1,0,1,19,1,1.05244772400643,-0.0524477240064324
"54严重风化点",54,"铅钡",1,1,1,0,1,19,1,0.936425762277005,0.0635742377229953
"55",55,"铅钡",1,1,1,0,1,19,1,0.937176322634823,0.0628236773651775
"56",56,"铅钡",1,1,1,0,1,19,1,0.949843375714996,0.050156624285004
"57",57,"铅钡",1,1,1,0,1,19,1,0.895396382915724,0.104603617084276
"58",58,"铅钡",1,1,1,0,1,19,1,0.900951500050759,0.0990484999492408
