"sample_name","artifact_id","fold","class_code","glass_type"
"01",1,3,2,"高钾"
"02",2,1,1,"铅钡"
"03部位1",3,5,2,"高钾"
"03部位2",3,5,2,"高钾"
"04",4,3,2,"高钾"
"05",5,4,2,"高钾"
"06部位1",6,5,2,"高钾"
"06部位2",6,5,2,"高钾"
"07",7,1,2,"高钾"
"08",8,5,1,"铅钡"
"08严重风化点",8,5,1,"铅钡"
"09",9,2,2,"高钾"
"10",10,3,2,"高钾"
"11",11,3,1,"铅钡"
"12",12,4,2,"高钾"
"13",13,2,2,"高钾"
"14",14,1,2,"高钾"
"16",16,2,2,"高钾"
"18",18,4,2,"高钾"
"19",19,1,1,"铅钡"
"20",20,4,1,"铅钡"
"21",21,1,2,"高钾"
"22",22,5,2,"高钾"
"23未风化点",23,2,1,"铅钡"
"24",24,1,1,"铅钡"
"25未风化点",25,4,1,"铅钡"
"26",26,2,1,"铅钡"
"26严重风化点",26,2,1,"铅钡"
"27",27,1,2,"高钾"
"28未风化点",28,3,1,"铅钡"
"29未风化点",29,1,1,"铅钡"
"30部位1",30,1,1,"铅钡"
"30部位2",30,1,1,"铅钡"
"31",31,2,1,"铅钡"
"32",32,5,1,"铅钡"
"33",33,3,1,"铅钡"
"34",34,1,1,"铅钡"
"35",35,2,1,"铅钡"
"36",36,3,1,"铅钡"
"37",37,5,1,"铅钡"
"38",38,4,1,"铅钡"
"39",39,2,1,"铅钡"
"40",40,2,1,"铅钡"
"41",41,4,1,"铅钡"
"42未风化点1",42,4,1,"铅钡"
"42未风化点2",42,4,1,"铅钡"
"43部位1",43,5,1,"铅钡"
"43部位2",43,5,1,"铅钡"
"44未风化点",44,3,1,"铅钡"
"45",45,1,1,"铅钡"
"46",46,2,1,"铅钡"
"47",47,4,1,"铅钡"
"48",48,5,1,"铅钡"
"49",49,3,1,"铅钡"
"49未风化点",49,3,1,"铅钡"
"50",50,3,1,"铅钡"
"50未风化点",50,3,1,"铅钡"
"51部位1",51,3,1,"铅钡"
"51部位2",51,3,1,"铅钡"
"52",52,1,1,"铅钡"
"53未风化点",53,2,1,"铅钡"
"54",54,5,1,"铅钡"
"54严重风化点",54,5,1,"铅钡"
"55",55,5,1,"铅钡"
"56",56,4,1,"铅钡"
"57",57,4,1,"铅钡"
"58",58,5,1,"铅钡"
