"sample_name","artifact_id","glass_type","class_name","cluster_id"
"01",1,"高钾","high_potassium",1
"04",4,"高钾","high_potassium",1
"05",5,"高钾","high_potassium",1
"03部位1",3,"高钾","high_potassium",2
"07",7,"高钾","high_potassium",2
"09",9,"高钾","high_potassium",2
"10",10,"高钾","high_potassium",2
"12",12,"高钾","high_potassium",2
"18",18,"高钾","high_potassium",2
"22",22,"高钾","high_potassium",2
"27",27,"高钾","high_potassium",2
"13",13,"高钾","high_potassium",3
"14",14,"高钾","high_potassium",3
"16",16,"高钾","high_potassium",3
"03部位2",3,"高钾","high_potassium",4
"06部位1",6,"高钾","high_potassium",4
"06部位2",6,"高钾","high_potassium",4
"21",21,"高钾","high_potassium",4
