"sample_name","artifact_id","glass_type","class_name","cluster_id","component_1","component_2"
"01",1,"高钾","high_potassium",1,0.689480112825221,1.76830841471628
"03部位1",3,"高钾","high_potassium",2,-1.57507909907693,-0.0829315979129835
"03部位2",3,"高钾","high_potassium",4,2.58373941062457,-1.83802443854878
"04",4,"高钾","high_potassium",1,0.796483953319211,1.96340816439306
"05",5,"高钾","high_potassium",1,0.53057825025716,1.53048041572987
"06部位1",6,"高钾","high_potassium",4,1.34428828391248,-2.86657963116741
"06部位2",6,"高钾","high_potassium",4,2.39126416307376,-1.6070122576484
"07",7,"高钾","high_potassium",2,-1.89967275473635,-0.84089574268411
"09",9,"高钾","high_potassium",2,-1.3122938252951,-0.334011318573075
"10",10,"高钾","high_potassium",2,-1.62111657154671,-0.162502658506757
"12",12,"高钾","high_potassium",2,-1.32689851487401,-0.0492052937440864
"13",13,"高钾","high_potassium",3,0.696701856370329,2.37473764404207
"14",14,"高钾","high_potassium",3,1.31955212406936,2.03614157508357
"16",16,"高钾","high_potassium",3,0.332001377959699,2.24928415619726
"18",18,"高钾","high_potassium",2,-3.21890562866932,-1.54841392366036
"21",21,"高钾","high_potassium",4,2.0908566073517,-2.12585470631251
"22",22,"高钾","high_potassium",2,-0.592099586869567,0.241711988263227
"27",27,"高钾","high_potassium",2,-1.22888015869551,-0.70864078966687
