"k","withinss","between_to_total","average_silhouette","min_cluster_size","cluster_sizes","class_name","selected_k"
2,183.857144903585,0.233928562901727,0.215668433534507,23,"23;26","lead_barium",5
3,145.092665382104,0.395447227574566,0.257549524924141,12,"12;19;18","lead_barium",5
4,112.717691706771,0.530342951221786,0.291540967994658,10,"11;17;11;10","lead_barium",5
5,91.9368390210603,0.616929837412249,0.327425930071947,8,"11;10;11;8;9","lead_barium",5
6,80.544529697263,0.664397792928071,0.326469898792346,4,"11;9;10;7;8;4","lead_barium",5
2,50.2623230545671,0.408678552299211,0.449880302275427,4,"14;4","high_potassium",4
3,28.11041477572,0.669289237932706,0.534103405435843,3,"11;3;4","high_potassium",4
4,11.2740354511308,0.867364288810226,0.660202547057438,3,"3;8;3;4","high_potassium",4
5,7.48528972312503,0.911937767963235,0.640554417026743,1,"3;2;8;4;1","high_potassium",4
6,5.01294911011566,0.941024128116286,0.58437284389602,1,"3;2;7;4;1;1","high_potassium",4
