"sample_name","artifact_id","glass_type","class_name","cluster_id","pc1","pc2","pc1_explained","pc2_explained"
"02",2,"铅钡","lead_barium",5,-2.09903157112813,0.0168688840684906,0.339601371986397,0.262385344648474
"08",8,"铅钡","lead_barium",1,2.63701792957252,0.345469033158153,0.339601371986397,0.262385344648474
"08严重风化点",8,"铅钡","lead_barium",1,2.21730333865639,0.684632623708847,0.339601371986397,0.262385344648474
"11",11,"铅钡","lead_barium",1,1.02750718893567,-0.307119388258298,0.339601371986397,0.262385344648474
"19",19,"铅钡","lead_barium",3,0.386817408207577,1.68000242034035,0.339601371986397,0.262385344648474
"20",20,"铅钡","lead_barium",4,0.203887956149632,0.0778079215298317,0.339601371986397,0.262385344648474
"23未风化点",23,"铅钡","lead_barium",2,0.86917559317667,-1.23387952234821,0.339601371986397,0.262385344648474
"24",24,"铅钡","lead_barium",1,2.1687787810449,-0.654502898224131,0.339601371986397,0.262385344648474
"25未风化点",25,"铅钡","lead_barium",4,0.281458791047561,0.61135243098788,0.339601371986397,0.262385344648474
"26",26,"铅钡","lead_barium",1,2.61765698353539,0.302791493299094,0.339601371986397,0.262385344648474
"26严重风化点",26,"铅钡","lead_barium",1,1.53696045554209,-0.673263690226864,0.339601371986397,0.262385344648474
"28未风化点",28,"铅钡","lead_barium",5,-1.24552198758235,-0.169820743822995,0.339601371986397,0.262385344648474
"29未风化点",29,"铅钡","lead_barium",5,-1.21020144088308,-0.45407167844999,0.339601371986397,0.262385344648474
"30部位1",30,"铅钡","lead_barium",5,-3.57658586436949,-1.54945912404827,0.339601371986397,0.262385344648474
"30部位2",30,"铅钡","lead_barium",5,-2.09357877293702,1.68726171735757,0.339601371986397,0.262385344648474
"31",31,"铅钡","lead_barium",3,-1.0883610916997,1.6010912062768,0.339601371986397,0.262385344648474
"32",32,"铅钡","lead_barium",4,-1.34423598597453,-0.310005090408782,0.339601371986397,0.262385344648474
"33",33,"铅钡","lead_barium",2,-0.500610617047762,-1.30139222380953,0.339601371986397,0.262385344648474
"34",34,"铅钡","lead_barium",4,0.0787711767564472,-0.57105334370536,0.339601371986397,0.262385344648474
"35",35,"铅钡","lead_barium",4,-0.0928771298926673,0.556935325484022,0.339601371986397,0.262385344648474
"36",36,"铅钡","lead_barium",4,-0.102952542051093,-0.862498847290325,0.339601371986397,0.262385344648474
"37",37,"铅钡","lead_barium",1,1.43076874628328,-0.870919875292601,0.339601371986397,0.262385344648474
"38",38,"铅钡","lead_barium",4,0.612034596893145,0.550592837848987,0.339601371986397,0.262385344648474
"39",39,"铅钡","lead_barium",1,1.34644494208916,0.219110110318501,0.339601371986397,0.262385344648474
"40",40,"铅钡","lead_barium",5,-0.838115176498675,1.1966521374449,0.339601371986397,0.262385344648474
"41",41,"铅钡","lead_barium",5,-2.00888327892735,0.611292445125263,0.339601371986397,0.262385344648474
"42未风化点1",42,"铅钡","lead_barium",2,0.392443568533084,-1.64409115059507,0.339601371986397,0.262385344648474
"42未风化点2",42,"铅钡","lead_barium",2,-0.0584526063872168,-2.43381998672516,0.339601371986397,0.262385344648474
"43部位1",43,"铅钡","lead_barium",2,0.0936894155154951,-0.433086458326501,0.339601371986397,0.262385344648474
"43部位2",43,"铅钡","lead_barium",3,-0.0384000380359472,1.88420632987333,0.339601371986397,0.262385344648474
"44未风化点",44,"铅钡","lead_barium",4,-0.670605854887381,-1.18606859387822,0.339601371986397,0.262385344648474
"45",45,"铅钡","lead_barium",2,-0.303560060454,-1.81481482233642,0.339601371986397,0.262385344648474
"46",46,"铅钡","lead_barium",2,-0.444265587108913,-1.43472006850336,0.339601371986397,0.262385344648474
"47",47,"铅钡","lead_barium",2,-0.223939521137977,-1.73097452178905,0.339601371986397,0.262385344648474
"48",48,"铅钡","lead_barium",5,-2.68274624214586,0.180331044852737,0.339601371986397,0.262385344648474
"49",49,"铅钡","lead_barium",3,-0.633460702349273,2.05837414774638,0.339601371986397,0.262385344648474
"49未风化点",49,"铅钡","lead_barium",5,-1.34945746584051,0.456588465714468,0.339601371986397,0.262385344648474
"50",50,"铅钡","lead_barium",3,0.298553674666431,1.39006449783454,0.339601371986397,0.262385344648474
"50未风化点",50,"铅钡","lead_barium",3,0.748211882648656,0.752681409157066,0.339601371986397,0.262385344648474
"51部位1",51,"铅钡","lead_barium",3,-0.0546424338294829,1.70164520816827,0.339601371986397,0.262385344648474
"51部位2",51,"铅钡","lead_barium",3,-0.325749531794441,1.59746256418902,0.339601371986397,0.262385344648474
"52",52,"铅钡","lead_barium",3,0.184644703695356,1.2859500121198,0.339601371986397,0.262385344648474
"53未风化点",53,"铅钡","lead_barium",2,-0.384539584744872,-1.82056836814854,0.339601371986397,0.262385344648474
"54",54,"铅钡","lead_barium",2,-0.0393157381212934,-0.584382733211488,0.339601371986397,0.262385344648474
"54严重风化点",54,"铅钡","lead_barium",3,0.768219018852536,0.97969914204801,0.339601371986397,0.262385344648474
"55",55,"铅钡","lead_barium",1,1.29377679403014,-0.165018320135797,0.339601371986397,0.262385344648474
"56",56,"铅钡","lead_barium",1,1.38348619652616,0.498412942996483,0.339601371986397,0.262385344648474
"57",57,"铅钡","lead_barium",1,1.10714529263048,-1.10629695581868,0.339601371986397,0.262385344648474
"58",58,"铅钡","lead_barium",3,-0.27466360915976,0.384552053704856,0.339601371986397,0.262385344648474
