"sample_name","artifact_id","glass_type","class_name","cluster_id"
"08",8,"铅钡","lead_barium",1
"08严重风化点",8,"铅钡","lead_barium",1
"11",11,"铅钡","lead_barium",1
"24",24,"铅钡","lead_barium",1
"26",26,"铅钡","lead_barium",1
"26严重风化点",26,"铅钡","lead_barium",1
"37",37,"铅钡","lead_barium",1
"39",39,"铅钡","lead_barium",1
"55",55,"铅钡","lead_barium",1
"56",56,"铅钡","lead_barium",1
"57",57,"铅钡","lead_barium",1
"23未风化点",23,"铅钡","lead_barium",2
"33",33,"铅钡","lead_barium",2
"42未风化点1",42,"铅钡","lead_barium",2
"42未风化点2",42,"铅钡","lead_barium",2
"43部位1",43,"铅钡","lead_barium",2
"45",45,"铅钡","lead_barium",2
"46",46,"铅钡","lead_barium",2
"47",47,"铅钡","lead_barium",2
"53未风化点",53,"铅钡","lead_barium",2
"54",54,"铅钡","lead_barium",2
"19",19,"铅钡","lead_barium",3
"31",31,"铅钡","lead_barium",3
"43部位2",43,"铅钡","lead_barium",3
"49",49,"铅钡","lead_barium",3
"50",50,"铅钡","lead_barium",3
"50未风化点",50,"铅钡","lead_barium",3
"51部位1",51,"铅钡","lead_barium",3
"51部位2",51,"铅钡","lead_barium",3
"52",52,"铅钡","lead_barium",3
"54严重风化点",54,"铅钡","lead_barium",3
"58",58,"铅钡","lead_barium",3
"20",20,"铅钡","lead_barium",4
"25未风化点",25,"铅钡","lead_barium",4
"32",32,"铅钡","lead_barium",4
"34",34,"铅钡","lead_barium",4
"35",35,"铅钡","lead_barium",4
"36",36,"铅钡","lead_barium",4
"38",38,"铅钡","lead_barium",4
"44未风化点",44,"铅钡","lead_barium",4
"02",2,"铅钡","lead_barium",5
"28未风化点",28,"铅钡","lead_barium",5
"29未风化点",29,"铅钡","lead_barium",5
"30部位1",30,"铅钡","lead_barium",5
"30部位2",30,"铅钡","lead_barium",5
"40",40,"铅钡","lead_barium",5
"41",41,"铅钡","lead_barium",5
"48",48,"铅钡","lead_barium",5
"49未风化点",49,"铅钡","lead_barium",5
