"sample_name","artifact_id","glass_type","class_name","cluster_id","component_1","component_2"
"02",2,"铅钡","lead_barium",5,-3.00067021795488,1.26218794174583
"08",8,"铅钡","lead_barium",1,3.68056728859422,0.93203333563796
"08严重风化点",8,"铅钡","lead_barium",1,3.95465856792404,2.113753697841
"11",11,"铅钡","lead_barium",1,0.746972318524848,0.567116026124637
"19",19,"铅钡","lead_barium",3,-0.256754099693401,1.87688624849789
"20",20,"铅钡","lead_barium",4,0.11249758489644,-1.47360013343782
"23未风化点",23,"铅钡","lead_barium",2,0.8078637951446,-2.22075170458605
"24",24,"铅钡","lead_barium",1,2.16786686169598,-0.676835801665606
"25未风化点",25,"铅钡","lead_barium",4,0.311725533053157,-0.652135850027457
"26",26,"铅钡","lead_barium",1,3.85829346990416,1.05856106174144
"26严重风化点",26,"铅钡","lead_barium",1,3.77839281036945,1.37309922612658
"28未风化点",28,"铅钡","lead_barium",5,-1.87432838346583,-0.0936120891305355
"29未风化点",29,"铅钡","lead_barium",5,-2.05705852893579,-0.956689848013375
"30部位1",30,"铅钡","lead_barium",5,-2.90111051791364,-0.627286152137987
"30部位2",30,"铅钡","lead_barium",5,-2.39295835333214,1.68542484135798
"31",31,"铅钡","lead_barium",3,-1.56500166613338,1.14200264495458
"32",32,"铅钡","lead_barium",4,-0.832255302937919,-1.0824306763066
"33",33,"铅钡","lead_barium",2,-0.53459816258024,-1.48364279711582
"34",34,"铅钡","lead_barium",4,0.664036494811126,-0.31230818445812
"35",35,"铅钡","lead_barium",4,0.0917354505339205,-0.458872089496203
"36",36,"铅钡","lead_barium",4,0.574334606002289,-1.68604724002483
"37",37,"铅钡","lead_barium",1,2.54169887205539,-0.562094753195329
"38",38,"铅钡","lead_barium",4,0.648082171308078,-0.377545817895197
"39",39,"铅钡","lead_barium",1,1.81351431714488,0.819276456915251
"40",40,"铅钡","lead_barium",5,0.257466027346223,1.74234001378224
"41",41,"铅钡","lead_barium",5,-1.59007218249716,1.60643700422295
"42未风化点1",42,"铅钡","lead_barium",2,0.253476335531846,-2.22664135753976
"42未风化点2",42,"铅钡","lead_barium",2,-0.055131409867952,-4.25213834477755
"43部位1",43,"铅钡","lead_barium",2,0.13857160847604,0.696160209585643
"43部位2",43,"铅钡","lead_barium",3,-0.687879893346274,2.53036640181189
"44未风化点",44,"铅钡","lead_barium",4,-0.970098277697438,-2.3134287168413
"45",45,"铅钡","lead_barium",2,-0.358692262287111,-2.6895658249837
"46",46,"铅钡","lead_barium",2,-0.405079267561689,-2.22844870067513
"47",47,"铅钡","lead_barium",2,-0.0250662493752739,-2.1151924209446
"48",48,"铅钡","lead_barium",5,-3.51711986150873,-0.359593147586393
"49",49,"铅钡","lead_barium",3,-1.25879087215726,2.19894884876618
"49未风化点",49,"铅钡","lead_barium",5,-1.66894368528282,0.579072512888483
"50",50,"铅钡","lead_barium",3,0.227438776337001,1.94231609008562
"50未风化点",50,"铅钡","lead_barium",3,0.0614351075825766,0.863489838472743
"51部位1",51,"铅钡","lead_barium",3,-1.22407984084571,2.12048980960951
"51部位2",51,"铅钡","lead_barium",3,-1.81649699103112,2.65676505847629
"52",52,"铅钡","lead_barium",3,0.238008964095901,1.14961149664446
"53未风化点",53,"铅钡","lead_barium",2,-0.597261631368969,-2.75562407772128
"54",54,"铅钡","lead_barium",2,-0.0943128749037769,0.601896375717484
"54严重风化点",54,"铅钡","lead_barium",3,-0.959283943353051,1.14164657469248
"55",55,"铅钡","lead_barium",1,1.30409906134757,-1.22002762225275
"56",56,"铅钡","lead_barium",1,1.39812303144609,0.226157482525461
"57",57,"铅钡","lead_barium",1,1.41581818470895,-1.22183350755789
"58",58,"铅钡","lead_barium",3,-0.403632762803228,1.16030766014671
