"sample_name","artifact_id","glass_type","class_code","component_1","component_2"
"01",1,"高钾",2,-3.96645145915367,1.85883805829105
"02",2,"铅钡",1,-0.833099259225405,-0.864111724550415
"03部位1",3,"高钾",2,-2.96539182808578,0.541653242786644
"03部位2",3,"高钾",2,-1.47572522559526,0.483923949133787
"04",4,"高钾",2,-4.14881135621141,1.28932387050119
"05",5,"高钾",2,-3.8694915048735,1.66660428652618
"06部位1",6,"高钾",2,-1.98937164164458,-0.475880867711927
"06部位2",6,"高钾",2,-2.07916424492831,0.282782342892374
"07",7,"高钾",2,-2.90500411294684,1.27654193397941
"08",8,"铅钡",1,2.2466857215832,2.90325565589855
"08严重风化点",8,"铅钡",1,2.93466836485399,3.4568760624992
"09",9,"高钾",2,-3.17993764264109,1.26958159415975
"10",10,"高钾",2,-3.14594371688696,0.860024211196083
"11",11,"铅钡",1,1.37385227299509,1.01199692281012
"12",12,"高钾",2,-3.32743946336975,1.18390065010291
"13",13,"高钾",2,-3.87959719649825,1.05629605602288
"14",14,"高钾",2,-2.8213141292736,-1.22064312601478
"16",16,"高钾",2,-3.34276009185611,-0.322120419428607
"18",18,"高钾",2,-2.97819601211,-1.19181519140487
"19",19,"铅钡",1,1.02716966460028,0.177858408286576
"20",20,"铅钡",1,-0.240160942064798,-0.49546419164335
"21",21,"高钾",2,-1.44725839836858,-0.375975585011105
"22",22,"高钾",2,-3.57139493430255,0.109966773343455
"23未风化点",23,"铅钡",1,1.67497835601664,-0.403628282819289
"24",24,"铅钡",1,2.10751297590263,1.10352262422405
"25未风化点",25,"铅钡",1,1.28546191179536,-0.468197173094015
"26",26,"铅钡",1,2.54333045873078,3.20939739419868
"26严重风化点",26,"铅钡",1,2.66244697595688,3.66326015286963
"27",27,"高钾",2,-3.00724620457301,0.439970715674723
"28未风化点",28,"铅钡",1,-0.0138090551350442,-1.15376355003782
"29未风化点",29,"铅钡",1,-0.25998864065983,-1.40670754560827
"30部位1",30,"铅钡",1,0.487255919282582,-2.2022201656543
"30部位2",30,"铅钡",1,1.32288210956078,-1.70602765892885
"31",31,"铅钡",1,0.614805001424644,-0.579344586552227
"32",32,"铅钡",1,-0.197186491473446,-1.3282356381958
"33",33,"铅钡",1,-0.154631408522768,-1.10269989883993
"34",34,"铅钡",1,1.14981722842186,0.328965153148447
"35",35,"铅钡",1,0.476083947014887,-0.91941741453968
"36",36,"铅钡",1,1.47131234825769,-0.553900974025335
"37",37,"铅钡",1,1.02916162119948,2.16071704246447
"38",38,"铅钡",1,1.85382133513242,-0.397581308749262
"39",39,"铅钡",1,2.53607581273238,1.24551102952467
"40",40,"铅钡",1,2.78691632668571,0.18543531953073
"41",41,"铅钡",1,1.32397873953354,-0.426725164187847
"42未风化点1",42,"铅钡",1,1.22986760470224,-0.625121982485608
"42未风化点2",42,"铅钡",1,0.108947536056941,-2.20212057596507
"43部位1",43,"铅钡",1,1.59303015738797,0.115500822895027
"43部位2",43,"铅钡",1,1.33509637934815,0.271396152644159
"44未风化点",44,"铅钡",1,0.0499190392538322,-1.55716765270797
"45",45,"铅钡",1,0.851217798461201,-1.44777731420728
"46",46,"铅钡",1,1.02753138638226,-1.20119875077867
"47",47,"铅钡",1,1.55274959270125,-0.642284892198117
"48",48,"铅钡",1,0.203205966140662,-2.78467378224972
"49",49,"铅钡",1,1.16511134433572,-0.352430468405793
"49未风化点",49,"铅钡",1,0.34297078801602,-0.677581291239403
"50",50,"铅钡",1,2.12741003247704,0.536732725935961
"50未风化点",50,"铅钡",1,1.20564048362246,-0.133338960286467
"51部位1",51,"铅钡",1,1.18727891544794,-0.48011258536317
"51部位2",51,"铅钡",1,-0.589915818934294,-0.547003740267594
"52",52,"铅钡",1,2.28432906821736,0.174649929148145
"53未风化点",53,"铅钡",1,0.747052205452471,-1.55421523885881
"54",54,"铅钡",1,1.61772658810333,0.173872628115963
"54严重风化点",54,"铅钡",1,1.03320707150753,-0.210565119065275
"55",55,"铅钡",1,1.03698840024037,-0.561589768659775
"56",56,"铅钡",1,1.10080510901472,-0.130900347630264
"57",57,"铅钡",1,0.826500749419903,-0.718431725101682
"58",58,"铅钡",1,0.854487471364634,0.382618953663516
