"class_name","component_id","chemical","vip","rank","important"
"high_potassium","component_1","SiO2",1.56994351468148,1,TRUE
"high_potassium","component_14","SO2",1.32919001808901,2,TRUE
"high_potassium","component_2","Na2O",1.29662526377873,3,TRUE
"high_potassium","component_10","BaO",1.28455233918336,4,TRUE
"high_potassium","component_13","SnO2",1.1278364468021,5,TRUE
"high_potassium","component_12","SrO",1.05461607665768,6,TRUE
"high_potassium","component_7","Fe2O3",0.988689075694077,7,FALSE
"high_potassium","component_9","PbO",0.962038502902559,8,FALSE
"high_potassium","component_5","MgO",0.764997179358135,9,FALSE
"high_potassium","component_11","P2O5",0.72553957435695,10,FALSE
"high_potassium","component_4","CaO",0.650741917050158,11,FALSE
"high_potassium","component_3","K2O",0.631068181040451,12,FALSE
"high_potassium","component_6","Al2O3",0.395628364529044,13,FALSE
"high_potassium","component_8","CuO",0.245158984081464,14,FALSE
"lead_barium","component_5","MgO",1.75200017697281,1,TRUE
"lead_barium","component_7","Fe2O3",1.40198741821573,2,TRUE
"lead_barium","component_8","CuO",1.21905147806503,3,TRUE
"lead_barium","component_11","P2O5",1.17740022637443,4,TRUE
"lead_barium","component_14","SO2",1.04603751419946,5,TRUE
"lead_barium","component_3","K2O",1.00275402556728,6,TRUE
"lead_barium","component_10","BaO",0.946877138278549,7,FALSE
"lead_barium","component_2","Na2O",0.877139976978209,8,FALSE
"lead_barium","component_6","Al2O3",0.741940877513508,9,FALSE
"lead_barium","component_1","SiO2",0.736430319122182,10,FALSE
"lead_barium","component_13","SnO2",0.678719790851875,11,FALSE
"lead_barium","component_4","CaO",0.645807093640071,12,FALSE
"lead_barium","component_12","SrO",0.447900340208372,13,FALSE
"lead_barium","component_9","PbO",0.394664334092319,14,FALSE
