"artifact_id","sensitivity_type","scenario","replicate","main_class_code","compact_class_code","tree_class_code","main_score_margin"
"A1","clr_noise","sd_0.03",1,2,2,2,0.870045325941406
"A1","clr_noise","sd_0.03",2,2,2,2,0.854937173125411
"A1","clr_noise","sd_0.03",3,2,2,2,0.865777692908961
"A1","clr_noise","sd_0.03",4,2,2,2,0.860196526769282
"A1","clr_noise","sd_0.03",5,2,2,2,0.850120442062113
"A1","clr_noise","sd_0.03",6,2,2,2,0.857993001219736
"A1","clr_noise","sd_0.03",7,2,2,2,0.842120615278215
"A1","clr_noise","sd_0.03",8,2,2,2,0.87114763408922
"A1","clr_noise","sd_0.03",9,2,2,2,0.858789365608967
"A1","clr_noise","sd_0.03",10,2,2,2,0.859760144358344
"A1","clr_noise","sd_0.03",11,2,2,2,0.861904463312977
"A1","clr_noise","sd_0.03",12,2,2,2,0.859613837816224
"A1","clr_noise","sd_0.03",13,2,2,2,0.858018424072569
"A1","clr_noise","sd_0.03",14,2,2,2,0.849449775494246
"A1","clr_noise","sd_0.03",15,2,2,2,0.85838125830713
"A1","clr_noise","sd_0.03",16,2,2,2,0.852580239883219
"A1","clr_noise","sd_0.03",17,2,2,2,0.848705170058579
"A1","clr_noise","sd_0.03",18,2,2,2,0.851459257099939
"A1","clr_noise","sd_0.03",19,2,2,2,0.863346673430274
"A1","clr_noise","sd_0.03",20,2,2,2,0.859160256854908
"A1","clr_noise","sd_0.03",21,2,2,2,0.86185094144343
"A1","clr_noise","sd_0.03",22,2,2,2,0.856044617006868
"A1","clr_noise","sd_0.03",23,2,2,2,0.864605854372207
"A1","clr_noise","sd_0.03",24,2,2,2,0.849680075883161
"A1","clr_noise","sd_0.03",25,2,2,2,0.867903762034832
"A1","clr_noise","sd_0.03",26,2,2,2,0.858384320457888
"A1","clr_noise","sd_0.03",27,2,2,2,0.84554697552887
"A1","clr_noise","sd_0.03",28,2,2,2,0.861237400743681
"A1","clr_noise","sd_0.03",29,2,2,2,0.861436902119241
"A1","clr_noise","sd_0.03",30,2,2,2,0.860314216847294
"A1","clr_noise","sd_0.03",31,2,2,2,0.863342192384491
"A1","clr_noise","sd_0.03",32,2,2,2,0.866632907127457
"A1","clr_noise","sd_0.03",33,2,2,2,0.860199966554198
"A1","clr_noise","sd_0.03",34,2,2,2,0.854569636592467
"A1","clr_noise","sd_0.03",35,2,2,2,0.868258077753431
"A1","clr_noise","sd_0.03",36,2,2,2,0.863087860705278
"A1","clr_noise","sd_0.03",37,2,2,2,0.855534319674225
"A1","clr_noise","sd_0.03",38,2,2,2,0.855124578456837
"A1","clr_noise","sd_0.03",39,2,2,2,0.862100728679304
"A1","clr_noise","sd_0.03",40,2,2,2,0.857434657041694
"A1","clr_noise","sd_0.03",41,2,2,2,0.867489058865869
"A1","clr_noise","sd_0.03",42,2,2,2,0.860013737462987
"A1","clr_noise","sd_0.03",43,2,2,2,0.868353310275017
"A1","clr_noise","sd_0.03",44,2,2,2,0.867814594734485
"A1","clr_noise","sd_0.03",45,2,2,2,0.881619604351588
"A1","clr_noise","sd_0.03",46,2,2,2,0.854802196271658
"A1","clr_noise","sd_0.03",47,2,2,2,0.856146151682154
"A1","clr_noise","sd_0.03",48,2,2,2,0.86798962200453
"A1","clr_noise","sd_0.03",49,2,2,2,0.853285217160943
"A1","clr_noise","sd_0.03",50,2,2,2,0.86667309613503
"A1","clr_noise","sd_0.03",51,2,2,2,0.873135783407021
"A1","clr_noise","sd_0.03",52,2,2,2,0.857933817816207
"A1","clr_noise","sd_0.03",53,2,2,2,0.87312173645271
