"glass_type","component_id","chemical_name","n_points","detected_n","detection_rate","clr_sd","interpretation_note"
"高钾",1,"SiO2",18,18,1,0.874248194330792,"保留并纳入全部相关计算"
"高钾",2,"Na2O",18,3,0.166666666666667,1.83216656471425,"低检出率：保留计算，但相关解释需谨慎"
"高钾",3,"K2O",18,15,0.833333333333333,2.06772651453425,"保留并纳入全部相关计算"
"高钾",4,"CaO",18,16,0.888888888888889,1.72306700832456,"保留并纳入全部相关计算"
"高钾",5,"MgO",18,12,0.666666666666667,1.57988873254247,"保留并纳入全部相关计算"
"高钾",6,"Al2O3",18,18,1,0.333761112102414,"保留并纳入全部相关计算"
"高钾",7,"Fe2O3",18,16,0.888888888888889,1.21888869630525,"保留并纳入全部相关计算"
"高钾",8,"CuO",18,17,0.944444444444444,1.21946064252471,"保留并纳入全部相关计算"
"高钾",9,"PbO",18,7,0.388888888888889,1.40552518407499,"低检出率：保留计算，但相关解释需谨慎"
"高钾",10,"BaO",18,4,0.222222222222222,1.5972285050457,"低检出率：保留计算，但相关解释需谨慎"
"高钾",11,"P2O5",18,16,0.888888888888889,1.30443771537336,"保留并纳入全部相关计算"
"高钾",12,"SrO",18,6,0.333333333333333,0.651072515952824,"低检出率：保留计算，但相关解释需谨慎"
"高钾",13,"SnO2",18,1,0.0555555555555556,1.41958384991276,"低检出率：保留计算，但相关解释需谨慎"
"高钾",14,"SO2",18,3,0.166666666666667,1.14755773631004,"低检出率：保留计算，但相关解释需谨慎"
"铅钡",1,"SiO2",49,49,1,0.801106061365531,"保留并纳入全部相关计算"
"铅钡",2,"Na2O",49,14,0.285714285714286,2.26363606983443,"低检出率：保留计算，但相关解释需谨慎"
"铅钡",3,"K2O",49,24,0.489795918367347,1.3539236502561,"低检出率：保留计算，但相关解释需谨慎"
"铅钡",4,"CaO",49,45,0.918367346938776,1.30265799897951,"保留并纳入全部相关计算"
"铅钡",5,"MgO",49,30,0.612244897959184,1.78947348503374,"保留并纳入全部相关计算"
"铅钡",6,"Al2O3",49,49,1,0.680120559415536,"保留并纳入全部相关计算"
"铅钡",7,"Fe2O3",49,27,0.551020408163265,1.87753308654776,"保留并纳入全部相关计算"
"铅钡",8,"CuO",49,45,0.918367346938776,1.57044803389652,"保留并纳入全部相关计算"
"铅钡",9,"PbO",49,49,1,0.670965648547276,"保留并纳入全部相关计算"
"铅钡",10,"BaO",49,46,0.938775510204082,1.60396675705048,"保留并纳入全部相关计算"
"铅钡",11,"P2O5",49,41,0.836734693877551,2.12393682671216,"保留并纳入全部相关计算"
"铅钡",12,"SrO",49,40,0.816326530612245,1.09633784068157,"保留并纳入全部相关计算"
"铅钡",13,"SnO2",49,5,0.102040816326531,0.926324139261439,"低检出率：保留计算，但相关解释需谨慎"
"铅钡",14,"SO2",49,5,0.102040816326531,1.71561497939747,"低检出率：保留计算，但相关解释需谨慎"
