"component_j","component_k","chemical_j","chemical_k","pearson_high_potassium","pearson_lead_barium","spearman_high_potassium","spearman_lead_barium","signed_difference","absolute_difference","high_potassium_strength","lead_barium_strength","high_potassium_direction","lead_barium_direction","pearson_spearman_gap_high_potassium","pearson_spearman_gap_lead_barium","difference_rank"
7,8,"Fe2O3","CuO",0.557105971828866,-0.496838473763456,0.205366357069143,-0.471734693877551,1.05394444559232,1.05394444559232,"medium","weak","positive","negative",0.351739614759722,0.0251037798859053,1
7,13,"Fe2O3","SnO2",-0.697216804121459,0.218988084043737,-0.568627450980392,0.138469387755102,-0.916204888165197,0.916204888165197,"medium","weak","negative","positive",0.128589353141067,0.0805186962886354,2
10,14,"BaO","SO2",-0.593144553636386,0.281443293399004,-0.43859649122807,0.663979591836735,-0.87458784703539,0.87458784703539,"medium","weak","negative","positive",0.154548062408316,0.382536298437731,3
1,12,"SiO2","SrO",0.458939349700947,-0.405414568376801,0.384932920536636,-0.415510204081633,0.864353918077748,0.864353918077748,"weak","weak","positive","negative",0.0740064291643111,0.0100956357048315,4
4,12,"CaO","SrO",-0.694205411766386,0.0779470010722535,-0.884416924664603,0.0622448979591837,-0.77215241283864,0.77215241283864,"medium","weak","negative","positive",0.190211512898216,0.0157021031130699,5
12,13,"SrO","SnO2",0.60949498493502,-0.136130144878921,0.457172342621259,-0.197959183673469,0.745625129813942,0.745625129813942,"medium","weak","positive","negative",0.152322642313761,0.061829038794548,6
5,10,"MgO","BaO",0.181178497348922,-0.52805299936826,-0.0505675954592363,-0.547448979591837,0.709231496717181,0.709231496717181,"weak","medium","positive","negative",0.231746092808158,0.019395980223577,7
9,14,"PbO","SO2",-0.700967345314575,0.000932984375030425,-0.686274509803922,0.394081632653061,-0.701900329689606,0.701900329689606,"medium","weak","negative","positive",0.0146928355106539,0.393148648278031,8
4,8,"CaO","CuO",0.412120135965128,-0.279482433659153,-0.114551083591331,-0.228877551020408,0.691602569624281,0.691602569624281,"weak","weak","positive","negative",0.526671219556459,0.0506048826387449,9
1,14,"SiO2","SO2",0.278223114673677,-0.393845594224813,0.500515995872033,0.375510204081633,0.67206870889849,0.67206870889849,"weak","weak","positive","negative",0.222292881198356,0.769355798306446,10
9,10,"PbO","BaO",0.570338609203785,-0.0817406514741246,0.591331269349845,0.230102040816326,0.652079260677909,0.652079260677909,"medium","weak","positive","negative",0.0209926601460604,0.311842692290451,11
5,14,"MgO","SO2",0.0684180096689679,-0.564445233505777,-0.0546955624355005,-0.440510204081633,0.632863243174745,0.632863243174745,"weak","medium","positive","negative",0.123113572104468,0.123935029424145,12
2,10,"Na2O","BaO",-0.514622611172821,0.111941093229568,-0.238390092879257,0.255714285714286,-0.62656370440239,0.62656370440239,"medium","weak","negative","positive",0.276232518293565,0.143773192484717,13
2,4,"Na2O","CaO",0.299405217375534,-0.306707790289593,0.242518059855521,-0.538061224489796,0.606113007665127,0.606113007665127,"weak","weak","positive","negative",0.0568871575200128,0.231353434200202,14
