sample_name,artifact_id,composition_sum,valid,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10,component_11,component_12,component_13,component_14
01,01,97.61,1,69.33,0,9.99,6.32,0.87,3.93,1.74,3.87,0,0,1.17,0,0,0.39
02,02,99.89,1,36.28,0,1.05,2.34,1.18,5.73,1.86,0.26,47.43,0,3.57,0.19,0,0
03部位1,03,100,1,87.05,0,5.19,2.01,0,4.06,0,0.78,0.25,0,0.66,0,0,0
03部位2,03,98.88,1,61.71,0,12.37,5.87,1.11,5.5,2.16,5.09,1.41,2.86,0.7,0.1,0,0
04,04,96.06,1,65.88,0,9.67,7.12,1.56,6.44,2.06,2.18,0,0,0.79,0,0,0.36
05,05,96.51,1,61.58,0,10.95,7.35,1.77,7.5,2.62,3.27,0,0,0.94,0.06,0,0.47
06部位1,06,98.92,1,67.65,0,7.37,0,1.98,11.15,2.39,2.51,0.2,1.38,4.18,0.11,0,0
06部位2,06,98.84,1,59.81,0,7.68,5.41,1.73,10.05,6.04,2.18,0.35,0.97,4.5,0.12,0,0
07,07,99.7,1,92.63,0,0,1.07,0,1.98,0.17,3.24,0,0,0.61,0,0,0
08,08,99.82,1,20.14,0,0,1.48,0,1.34,0,10.41,28.68,31.23,3.59,0.37,0,2.58
08严重风化点,08,98.24,1,4.61,0,0,3.19,0,1.11,0,3.14,32.45,30.62,7.56,0.53,0,15.03
09,09,99.77,1,95.02,0,0.59,0.62,0,1.32,0.32,1.55,0,0,0.35,0,0,0
10,10,99.81,1,96.77,0,0.92,0.21,0,0.81,0.26,0.84,0,0,0,0,0,0
11,11,95.39,1,33.59,0,0.21,3.51,0.71,2.69,0,4.93,25.39,14.61,9.38,0.37,0,0
12,12,99.57,1,94.29,0,1.01,0.72,0,1.46,0.29,1.65,0,0,0.15,0,0,0
13,13,98.14,1,59.01,2.86,12.53,8.7,0,6.16,2.88,4.73,0,0,1.27,0,0,0
14,14,99,1,62.47,3.38,12.28,8.23,0.66,9.23,0.5,0.47,1.62,0,0.16,0,0,0
15,15,79.47,0,61.87,3.21,7.44,0,1.02,3.15,1.04,1.29,0.19,0,0.26,0,0,0
16,16,98.41,1,65.18,2.1,14.52,8.27,0.52,6.18,0.42,1.07,0.11,0,0,0.04,0,0
17,17,71.89,0,60.71,2.12,5.71,0,0.85,0,1.04,1.09,0.19,0,0.18,0,0,0
18,18,97.25,1,79.46,0,9.42,0,1.53,3.05,0,0,0,0,1.36,0.07,2.36,0
19,19,98.76,1,29.64,0,0,2.93,0.59,3.57,1.33,3.51,42.82,5.35,8.83,0.19,0,0
20,20,88.41,1,37.36,0,0.71,0,0,5.45,1.51,4.78,9.3,23.55,5.75,0,0,0
21,21,98.52,1,76.68,0,0,4.71,1.22,6.19,2.37,3.28,1,1.97,1.1,0,0,0
22,22,100,1,92.35,0,0.74,1.66,0.64,3.5,0.35,0.55,0,0,0.21,0,0,0
23未风化点,23,96.5,1,53.79,7.92,0,0.5,0.71,1.42,0,2.99,16.98,11.86,0,0.33,0,0
24,24,98.88,1,31.94,0,0,0.47,0,1.59,0,8.46,29.14,26.23,0.14,0.91,0,0
